哇哇哇超喜欢这种炸的！我还有德克士的会员哈哈哈,1539780697.0,410.0,0.0,保密,厌世小宝妹,3.0,0.0
敢啊 可是离德克士超远,1539780626.0,407.0,0.0,女,陈陈陈爱吃肉,4.0,0.0
我也想吃100的德克士 好久没吃手枪腿了 但是觉得有丢丢小贵 嘤嘤嘤,1539780181.0,399.0,0.0,女,我是正版皮凯丘-韵汐,4.0,0.0
好几年没点过德克士了（￣▽￣）,1539779399.0,383.0,0.0,保密,rockdragon,5.0,0.0
然而，我家这并没有德克士,1539778571.0,367.0,0.0,女,一只黑球,4.0,0.0
吃100德克士不带打嗝的,1539778503.0,366.0,0.0,保密,汪慕唐,4.0,0.0
可惜我们这片没有德克士(´；ω；`)(´；ω；`),1539778172.0,358.0,0.0,保密,大宝贝ion,4.0,0.0
啊啊啊啊啊啊最近超想吃手枪腿，但我们这没有德克士😭😭😭哭唧唧,1539778139.0,354.0,0.0,保密,piupiupiu要努力鸭,3.0,0.0
我一个男的，吃一只德克士炸鸡腿都觉得腻，配可乐勉强干掉两只，姐姐你是神仙么,1539777907.0,349.0,0.0,保密,热评------,4.0,0.0
今天吃了肯德基，看到德克士觉得夜很棒(=・ω・=),1539777747.0,343.0,0.0,女,茶茶の猹,4.0,0.0
上个月德克士的优惠券没用简直后悔死了,1539777041.0,322.0,0.0,女,踩缝纫机的翠花,5.0,0.0
唉，可惜我这里没有德克士，看你吃得这么香馋死我了！！！最后！小姐姐你真的好漂亮,1539776688.0,307.0,1.0,保密,凌玖渊,3.0,0.0
別選我 這裡沒有德克士_(:ᗤ」ㄥ)_,1539776398.0,293.0,0.0,保密,yixiqingcheng,3.0,0.0
我这里没有德克士。。。我也没吃过手枪腿 。。(´･_･`),1539776122.0,272.0,1.0,女,炒鸡污污污の南酱-,4.0,0.0
手枪腿简直是德克士的王炸,1539776086.0,267.0,1.0,男,kocmoc,5.0,0.0
好久好久没吃德克士了，想念,1539775962.0,259.0,0.0,保密,woeiruty,4.0,0.0
德克士炸鸡真滴好吃,1539775960.0,258.0,0.0,女,很想次薄荷糖,5.0,0.0
德克士手枪腿是可以和吮指原味鸡比肩的美味。,1539775875.0,253.0,1.0,保密,趴趴桑炸毛了,4.0,0.0
搬家以后附近没有德克士了1551,1539775811.0,249.0,0.0,保密,芽芽次不啦,5.0,0.0
德克士的鲷鱼烧也好吃（￣▽￣）,1539775808.0,248.0,0.0,保密,紅鶴啊,3.0,0.0
我觉得德克士炸鸡是真的好吃[小电视_笑],1539775768.0,242.0,1.0,男,小黑HXH,4.0,0.0
阿尤吃的也太香了吧 家附近没有德克士的哭死,1539775764.0,240.0,0.0,女,猫巷鱼未随耶,4.0,0.0
我没吃过德克士 想挑战qwq,1539775639.0,225.0,0.0,保密,Cawel_杬郗,4.0,0.0
"每天看阿尤，我:啊我想吃德克士炸鸡
我室友:你每天啥不想吃？！
我:我只想吃外面那层脆皮就好了不吃里面的肉哈哈哈哈。
阿尤加油！继续支持你！",1539775577.0,217.0,0.0,女,皓青皓青我是青柠,4.0,0.0
有一次在火车站附近吃的德克士手枪腿，感觉并不好吃呀～,1539775513.0,213.0,0.0,女,肉肉肉杨,3.0,0.0
抽中我也没用我家附近根本没有德克士,1539775503.0,209.0,0.0,女,糖槑槑,4.0,0.0
朋友说德克士的全鸡好吃又便宜，可惜我家德克士不送外卖TT,1539775458.0,205.0,1.0,保密,突然想不到叫什么好,4.0,0.0
十一去，发现上海德克士真的超便宜的，叫外卖什么的超优惠。[小电视_我好兴奋][小电视_我好兴奋],1539775453.0,204.0,0.0,女,琪苒苒,3.0,0.0
小破城没有德克士。。,1539775315.0,188.0,0.0,男,满嘴骚话的天堂Maya,4.0,0.0
德克士的手枪鸡腿真的好吃,1539775071.0,158.0,0.0,保密,旺角冰室,4.0,0.0
方圆一百公里都没有德克士,1539774735.0,107.0,0.0,女,颜一111,4.0,0.0
哇，德克士！明天去吃哈哈哈！,1539774735.0,106.0,0.0,女,小明summer,4.0,0.0
"我也想挑战啊！首先我家附近没有德克士，其次，也是最重要的一点！！！


我没钱( ´_ゝ｀)",1539774676.0,92.0,1.0,女,我心在焉,4.0,0.0
昨天我也点的德克士诶,1539774593.0,80.0,0.0,女,迷糊小姐姐,5.0,0.0
超级喜欢德克士😂😂😂😂,1539774556.0,64.0,0.0,保密,简约夏,2.0,0.0
超想吃德克士的，附近没有啊啊啊[2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭],1539774513.0,52.0,0.0,男,不可食用白薯丶,5.0,0.0
附近没有德克士，好想吃哦😭,1539774449.0,37.0,0.0,保密,朴破破,3.0,0.0
德克士是什么,1538112181.0,812.0,0.0,保密,来自异世界の美少女,5.0,0.0
我买的德克士加中杯可乐，就30多了。？？？？,1538108794.0,811.0,0.0,保密,是病嘎嘎勒,4.0,3.0
九月初的吃鸡活动天天抽到炸鸡券……一毛钱一个德克士鸡腿……连续四天，每天去换五六个，和小伙伴吃到想吐,1538054006.0,806.0,0.0,女,poppypapo,5.0,0.0
不是黑德克士，德克士就吃过几次，不敢去了，吃一次拉一次，而且是感觉心慌感觉很难受那种，不知道是不是里面配料有啥我吃不了，另外两家洋快餐没事,1537784243.0,800.0,0.0,保密,gaimaooo1982,4.0,0.0
只有我觉得德克士的炸鸡比其他店炸鸡好吃么？,1537763864.0,797.0,6.0,男,营銷号,4.0,3.0
！！！为什么成都的德克士手枪腿24一个！！我每十天才敢点一次套餐（/TДT)/,1537568273.0,783.0,1.0,保密,景三丶Z,4.0,2.0
德克士，dicks（dicos）咳咳(￣3￣),1537566850.0,782.0,0.0,保密,蟋蟀666,4.0,0.0
你要是信我，去德克士店里买新炸出来的魔法鸡块，再配上劲爆麻辣包，简直不要太好吃，饮料推荐柠檬饮啦，有时间可以去试试看,1537533620.0,774.0,1.0,男,枷锁丶星辰,4.0,0.0
德克士的手枪腿个人感觉可以秒杀肯德基麦当劳里的所有东西,1537452369.0,762.0,3.0,保密,干泥大夜,4.0,2.0
貌似没有看见过德克士上头条。。。(｀・ω・´),1537449270.0,761.0,0.0,男,玉之臣,4.0,0.0
德克士脆皮炸鸡，在三大快餐最好吃,1537449190.0,760.0,0.0,保密,卓月里予张C先圣,2.0,0.0
反正我们这里德克士天天换油，虽然贵，但你别说不干净,1537413705.0,753.0,0.0,男,一只婵婵,4.0,0.0
德克士我单点鸡柳印象极差( ´_ゝ｀),1537375754.0,751.0,0.0,男,阿尔托利亚老公,3.0,0.0
德克士手枪腿很嫩，好吃，,1537374475.0,750.0,0.0,女,mina322,4.0,0.0
某快餐品牌不知道比德克士高到哪里去了,1537367575.0,749.0,1.0,保密,请叫我阿鲁大人,6.0,6.0
去过一次德克士，里面的炸鸡腿给我的感觉不太好，有股在其他家没吃过的怪味。本来不想去了，看了你视屏我要在去一次[小电视_太太喜欢],1537349900.0,746.0,2.0,男,花暝箩,4.0,3.0
食品专业的，去德克士干了一个月，走之前想特么向食监局和消防举报那家店。。。,1537183081.0,737.0,6.0,保密,我skr狼人,5.0,2.0
这两天见过了华莱士，肯德基，德克士，麦当劳，正新鸡排甚至那啥鸡车的暑假工疯狂在此类视频发表评论，你们是不是串通好了一起打的工然后具体来评论洗白啊,1537173903.0,734.0,3.0,男,KisZ,5.0,2.0
德克士每次买一送一活动时，就手枪腿没有(￣3￣),1537113749.0,732.0,2.0,保密,CornPone紫,5.0,0.0
嘤嘤嘤我们这个城市没有德克士(´；ω；`),1537070325.0,730.0,3.0,保密,廖养春身上攻,4.0,5.0
之前去德克士晚十点之后东西全都半价促销，圣代原价买一送一，还每个月请管理层的员工家人吃饭之类的(｀・ω・´),1536937747.0,721.0,0.0,保密,花卷purait,5.0,0.0
真便宜，我们这边德克士手枪腿单点不打折要21，打了折也要十七八,1536924360.0,720.0,0.0,男,银河镇地球村村长,4.0,1.0
作为一个德克士干了1年的仓储，实话告诉你，生意好不好，油都是用到发黑才换。油阶能保持在3-4阶只有刚换油的头两天。,1536898337.0,719.0,0.0,保密,亖梦丶,4.0,4.0
德克士万岁,1536696697.0,711.0,0.0,保密,萌萌哒的皮卡丘°,5.0,0.0
德克士炸鸡好吃，麦当劳汉堡好吃，肯德基出的新品多，但是都只卖一段时间，很多好吃的反而不卖了比如嫩牛五方，还有很多日本KFC才有的国内都不出，不懂怎么想的,1536552246.0,706.0,9.0,男,花落璇雨,5.0,6.0
德克士被华莱士挤兑走了。。。我仿佛是在做梦，一个真实到诡异的梦。。,1536506837.0,703.0,2.0,男,辰秦小筑,5.0,0.0
德克士不是出事不让出了吗,1536494729.0,702.0,0.0,保密,Cu里桐Li,3.0,1.0
[小电视_思索]……以前吃过几次德克士……不知道是不是因为所在城市不同……我家附近的这个德克士……面比肉多……,1536471401.0,699.0,0.0,保密,前生缘来世续,5.0,0.0
德克士比kfc好吃，可惜我家这边德克士关门大吉了,1536467120.0,698.0,0.0,保密,梦老大,4.0,3.0
德克士我们好多年前都没了  手枪鸡是真的好吃,1536417529.0,694.0,0.0,保密,lamb0,3.0,0.0
德克士鸡我觉得是最好吃的,1536417139.0,693.0,2.0,保密,总有刁女强啪朕,4.0,0.0
德克士的面皮巨硬,1536407925.0,691.0,0.0,保密,我可不是黄花闺女,2.0,0.0
超多年没吃德克士 上次去买了块炸鸡 只能说 德克士的炸鸡真的好好吃啊 口感和其他家区别挺大的,1536397208.0,689.0,4.0,保密,bibongbibi,5.0,0.0
去德克士就为了 手枪腿和鲷鱼烧,1536390137.0,687.0,2.0,保密,xnle,5.0,0.0
有多少人知道，全家，德克士，康师傅，其实是一家的。,1536248968.0,679.0,3.0,男,小米智能希尔薇,4.0,3.0
本来我家那边很多德克士的，之前某一年忽然大部分都关了只有很偏的地方才有几家。这是什么情况？有人和我一样嘛？,1536167401.0,670.0,9.0,保密,tangge,4.0,0.0
因为我……是德克士啊……,1536161637.0,669.0,0.0,保密,某不科学的事迹,5.0,0.0
我家附近的一家，这种鸡腿难吃到爆炸，雪碧像凉水，尊享卡坑的一匹，感觉德克士快倒闭了。,1536158033.0,668.0,4.0,男,Sareael,4.0,5.0
德克士的鸡排的肉感是很硬的，不是很好吃，在德克士打工的阶段，而且到现在根本不想碰快餐。。。。,1536157370.0,667.0,0.0,保密,混烟FreeD0m,5.0,0.0
德克士的炸鸡是最好吃的，其他就不咋滴了,1536155647.0,661.0,5.0,男,一米的遥远,5.0,1.0
ummmmmmm我觉得德克士炸鸡的亮点就在它的那个配料粉。。,1536155287.0,660.0,3.0,保密,青雾和番茄喜欢吃栗子,4.0,0.0
