'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(吾悦广场店),淀山湖大道218号吾悦广场1层,0.0,16.0,42.0,7.0,8.0,7.6,7.6,7.6, 43 
肯德基(车墩店),"车墩镇影维路258弄2号一,二层",1.0,15.0,38.0,10.0,9.0,7.1,7.2,6.8, 37 
肯德基(金汇店),华夏东路2255号,1.0,31.0,65.0,25.0,11.0,7.3,7.4,7.4, 30 
肯德基(三阳店),南京东路626-636号一层和二层,0.0,47.0,51.0,35.0,27.0,7.1,7.1,7.1, 31 
肯德基(亭坊店),涞坊路589号一层,1.0,25.0,70.0,22.0,20.0,7.4,7.3,7.3, 38 
肯德基(朱泾店),朱泾镇公园路246弄51号,1.0,16.0,72.0,14.0,7.0,7.5,7.4,7.4, 23 
肯德基(盈港店),青浦镇盈港路555号,1.0,22.0,53.0,6.0,4.0,7.5,7.5,7.4, 38 
肯德基(北门店),北门大街13号,1.0,18.0,54.0,19.0,2.0,7.3,7.2,7.2, 26 
肯德基(澄浏店),"澄浏中路3120,3122,3124,3126号一层",1.0,26.0,38.0,6.0,18.0,7.3,7.2,6.9, 20 
肯德基(明兴店),新桥镇明兴路口家乐福新南路购物中心101号商铺,0.0,18.0,17.0,4.0,4.0,7.2,7.2,7.1, 30 
肯德基(刘行店),菊盛路912-916号,1.0,69.0,121.0,35.0,36.0,7.2,7.4,7.5, 45 
肯德基(东方现代商业广场店),晨阳路225弄东方现代商业广场1层,1.0,20.0,38.0,10.0,12.0,7.3,7.1,7.2, 37 
肯德基(吴淞店),水产路1234号,1.0,55.0,95.0,42.0,12.0,7.3,7.4,7.4, 26 
肯德基(江川店),"泗泾镇江川北路263,265等号",1.0,26.0,76.0,26.0,9.0,7.3,7.4,7.3, 21 
肯德基(叶榭店),叶榭镇求仁路149号1层,1.0,29.0,57.0,13.0,10.0,7.7,7.6,7.2, 40 
肯德基(名都店),莘朱路168号B1,1.0,75.0,119.0,58.0,32.0,7.3,7.4,7.2, 25 
肯德基(鼎城店),惠南镇南门大街18号,0.0,30.0,72.0,18.0,7.0,7.6,7.6,7.6, 36 
肯德基(曹安店),曹安路1588号,0.0,28.0,46.0,14.0,13.0,7.3,7.2,7.2, 30 
肯德基(长征店),杨柳青路768号,1.0,52.0,79.0,30.0,24.0,7.1,6.9,6.6, 26 
肯德基(马陆弘基店),"沪宜公路2400,2398号1,2层",1.0,28.0,56.0,21.0,25.0,7.3,7.4,7.0, 33 
肯德基(虹井路店),虹井路188号,0.0,8.0,6.0,1.0,2.0,7.0,6.7,7.1,-
肯德基(施湾店),施新路802弄1号,1.0,20.0,39.0,5.0,13.0,6.9,7.2,7.1, 35 
肯德基(华徐店),徐泾镇沪青平公路1829号,1.0,19.0,59.0,15.0,17.0,7.4,7.2,7.3, 25 
肯德基(清河店),城中路162号,0.0,24.0,25.0,10.0,4.0,7.7,7.0,7.3, 30 
肯德基(博乐店),博乐路99号,1.0,50.0,83.0,30.0,28.0,7.4,7.3,7.3, 37 
肯德基(合庆店),庆南路8号,1.0,18.0,36.0,12.0,10.0,7.1,7.2,7.2, 31 
肯德基(南翔大润发店),沪宜公路1030弄1号,1.0,15.0,19.0,4.0,2.0,7.6,7.6,7.7, 30 
肯德基(蒙山店),卫清路477号,0.0,21.0,43.0,10.0,10.0,7.6,7.6,7.7, 29 
肯德基(同乐店),洞泾镇同乐路399号6幢号一层1F05-07号,1.0,12.0,35.0,5.0,6.0,7.3,7.3,7.2, 33 
肯德基(沪松DT店),松江荣乐东路1595号,1.0,22.0,47.0,7.0,8.0,7.2,7.2,7.2, 49 
肯德基(西渡店),西渡沪杭公路238弄（近西闸路）连城商业广场1号,1.0,25.0,92.0,16.0,8.0,7.6,7.6,7.4, 26 
肯德基(富绅店),盈港路1666弄3-1、3-2号1层,1.0,11.0,10.0,3.0,1.0,7.1,7.1,7.1,-
肯德基(高东店),新区高东镇新园路128号1楼,1.0,30.0,53.0,6.0,20.0,7.1,7.0,6.9, 33 
肯德基(阳光小区店),南亭公路601号,1.0,15.0,34.0,5.0,4.0,7.4,7.4,7.4, 26 
肯德基(新桥店),新桥镇新南街377号,1.0,21.0,69.0,15.0,12.0,7.3,7.3,7.2, 26 
肯德基(豫安阁店),方浜中路235号,1.0,35.0,47.0,28.0,20.0,6.8,7.1,6.9, 35 
肯德基(腾飞店),上海天钥桥路666号八万人体育场内,0.0,1.0,1.0,1.0,2.0,6.5,6.9,6.7, 30 
肯德基(华新店),"华新镇华强街239号B02商铺中1,2层",1.0,17.0,37.0,27.0,21.0,6.8,6.6,6.5, 27 
肯德基(平高店),九峰路118号101室-3商铺,1.0,23.0,31.0,0.0,9.0,7.2,7.4,7.2, 28 
肯德基(汽车城店),安亭镇新源路577号,1.0,18.0,36.0,4.0,4.0,7.5,7.5,7.6, 29 
肯德基(南奉店),南奉公路8889号,1.0,21.0,49.0,14.0,8.0,7.2,7.3,7.3, 35 
肯德基,兰溪路137号,0.0,17.0,21.0,1.0,0.0,7.8,7.6,7.6, 25 
肯德基(南桥店),解放中路400号,0.0,16.0,42.0,13.0,2.0,7.2,7.2,7.1, 30 
肯德基(鹿都国际商业广场店),松汇中路568号鹿都国际商业广场2层,0.0,17.0,32.0,4.0,1.0,7.5,7.4,7.4, 24 
肯德基(石化店),卫清路858号,1.0,17.0,48.0,20.0,7.0,7.1,7.2,7.2, 24 
肯德基(坂桥店),卫清西路168弄99号一层B103-B104号,1.0,27.0,51.0,19.0,9.0,7.2,7.4,7.4, 30 
肯德基(动力南精选店),沪闵路9001号上海南站（1F三角地A-1)一层,0.0,45.0,63.0,24.0,30.0,7.4,7.3,7.1, 30 
肯德基(动力南广场店),石龙路750-3号上海南站地下商场南馆,0.0,82.0,138.0,144.0,67.0,6.7,6.7,6.5, 24 
肯德基(新源店),川沙路4839号,0.0,52.0,92.0,43.0,33.0,7.2,7.0,6.9, 28 
肯德基(贵都店),都市路3366号,0.0,34.0,58.0,23.0,18.0,7.2,7.3,6.9, 31 
KFC甜品站,福州路556号,0.0,28.0,34.0,4.0,2.0,7.4,7.1,7.2, 26 
肯德基(机场店),迎宾一路700号虹桥机场1号航站楼A楼,0.0,3.0,7.0,2.0,0.0,7.2,7.2,7.3, 30 
肯德基(亭枫店),朱泾镇沈浦泾路28号,0.0,16.0,30.0,3.0,7.0,7.5,7.5,7.4, 21 
肯德基(申港大道DT店),茉莉路225弄56-64号一层,0.0,4.0,5.0,0.0,1.0,6.9,6.9,6.9,-
肯德基(胜兴路店),胜兴路426号,0.0,1.0,0.0,0.0,1.0,6.4,6.4,6.4,-
肯德基(环城店),奉贤南桥环城东路1468号,1.0,14.0,44.0,6.0,2.0,7.0,7.3,7.0, 29 
肯德基甜品站(延长店),延长中路312号,0.0,21.0,18.0,5.0,2.0,7.1,7.1,7.1, 36 
仲盛世界商城 肯德基,凯城路199号,0.0,3.0,6.0,1.0,1.0,7.4,7.4,7.5,-
肯德基(阳光港店),华侨城投资发展有限公司园区内阳光港商业街,0.0,1.0,2.0,1.0,0.0,6.8,6.8,6.8, 30 
肯德基甜品站(松江店),中山中路99号1楼,0.0,3.0,3.0,0.0,1.0,7.4,7.4,7.4,-
肯德基(永辉精选店),广富林路658弄666号松江万达广场B1层永辉超市商铺号,0.0,4.0,2.0,0.0,3.0,6.6,6.6,6.4, 30 
肯德基(佛罗伦萨广场店),机场镇103街坊64-1,0.0,10.0,18.0,1.0,2.0,7.1,7.1,7.0, 39 
